Age,Sex,Height ,Reason,SBF,EBF,Starting,Ending,CI,API,ACI,AFI,Sleep,HealthFactors,BMR
13,Female,63,Gaining muscle,36,25,129,141,2243,81,45,87,8.8,No,1342
13,Male,50,Gaining muscle,15,19,174,90,1892,51,107,77,5.0,No,1527
52,Male,76,Gaining muscle,23,19,193,148,3545,145,25,101,6.0,No,2223
17,Male,66,Gaining muscle,19,19,156,100,2236,86,50,78,10.8,No,1447
20,Male,71,Gaining muscle,21,21,167,136,3600,225,63,61,5.1,No,2506
37,Female,61,Losing fat,31,12,157,90,3210,78,25,30,10.3,No,1030
19,Female,60,Losing fat,45,27,100,154,2207,68,30,126,5.8,No,1258
13,Male,63,Gaining muscle,20,14,178,90,1685,118,33,69,6.7,No,1700
50,Male,70,Gaining muscle,23,23,195,208,2745,145,89,469,7.2,No,1541
13,Female,54,Gaining muscle,16,14,100,90,2067,55,96,46,5.6,No,2794
25,Male,67,Gaining muscle,33,16,134,202,2464,89,98,335,5.5,No,1399
26,Male,54,Losing fat,34,13,102,123,1295,77,25,83,7.0,No,1030
37,Female,68,Losing fat,34,18,195,90,2135,87,25,126,11.0,No,1644
13,Female,59,Losing fat,35,24,114,90,1625,80,39,192,5.4,No,1030
13,Male,63,Gaining muscle,30,16,195,184,4063,114,99,86,10.8,No,2104
28,Female,50,Losing fat,18,30,158,90,1521,75,25,65,6.1,No,1030
21,Male,75,Gaining muscle,20,17,176,93,4300,82,86,117,8.8,No,1353
13,Male,69,Gaining muscle,19,13,108,105,2707,75,25,129,8.1,No,1842
13,Female,50,Losing fat,30,25,111,90,1619,51,25,42,11.0,No,1030
42,Male,65,Gaining muscle,19,21,112,169,2366,63,51,22,11.0,No,1030
19,Female,52,Losing fat,32,23,134,153,2168,93,25,71,11.0,No,1030
13,Female,62,Gaining muscle,25,23,115,139,1485,131,99,268,11.0,No,1030
20,Female,56,Gaining muscle,35,22,172,112,3682,85,47,30,10.3,No,1818
51,Female,59,Gaining muscle,24,25,104,109,4300,87,100,22,11.0,No,1175
23,Female,65,Losing fat,22,16,182,90,2346,102,25,109,7.0,No,1321
57,Female,67,Losing fat,30,25,133,90,2231,82,66,57,6.2,No,1176
35,Female,60,Losing fat,34,18,130,148,2356,97,42,53,9.5,No,2841
13,Female,50,Losing fat,20,23,115,92,1666,74,25,22,6.3,No,1030
51,Female,75,Gaining muscle,19,23,195,96,2836,163,314,115,7.5,No,1634
18,Female,63,Gaining muscle,21,23,167,100,2175,102,60,61,7.0,No,1030
27,Female,61,Gaining muscle,24,23,190,122,1871,225,80,22,4.2,No,2193
53,Male,66,Gaining muscle,14,12,195,213,4300,225,327,469,5.2,No,2344
13,Female,50,Losing fat,23,30,109,167,2241,92,25,22,5.8,No,1030
32,Male,61,Gaining muscle,16,16,121,139,2906,118,28,467,4.6,No,1065
13,Male,59,Gaining muscle,23,22,167,129,3896,77,25,26,5.5,No,1656
62,Female,58,Losing fat,34,19,163,110,2184,129,50,75,4.9,No,1504
23,Female,68,Gaining muscle,22,15,120,103,2399,88,91,220,5.5,No,1461
65,Female,65,Losing fat,20,20,180,90,1762,225,25,29,5.1,No,1229
27,Female,62,Gaining muscle,31,12,195,90,2361,146,45,104,6.8,No,1786
20,Female,50,Losing fat,18,22,158,127,1748,93,25,83,11.0,No,1433
19,Male,69,Losing fat,32,18,117,127,2263,84,73,25,10.7,No,1601
25,Female,66,Losing fat,29,24,101,90,2599,67,25,115,4.2,No,1030
29,Male,62,Losing fat,33,18,101,122,1771,51,25,196,5.6,No,1203
18,Female,52,Losing fat,18,18,114,90,2503,65,25,93,5.9,No,1267
20,Female,65,Losing fat,45,23,123,115,3859,86,47,63,7.7,No,1815
73,Male,67,Losing fat,18,18,138,125,1939,85,25,102,10.0,No,1316
36,Male,57,Gaining muscle,18,23,141,194,1508,84,69,475,10.1,No,1927
24,Female,55,Gaining muscle,33,21,190,204,3092,77,40,61,11.0,No,1739
21,Female,67,Losing fat,23,15,106,103,2589,51,119,249,6.0,No,1279
15,Female,61,Gaining muscle,16,15,116,155,1720,78,25,59,11.0,No,1707
62,Female,62,Losing fat,36,13,144,148,4300,127,70,74,11.0,No,1865
44,Male,65,Gaining muscle,18,20,184,105,1959,78,81,81,6.8,No,1554
22,Female,56,Gaining muscle,33,22,100,138,3164,193,25,22,7.0,No,1466
24,Female,58,Gaining muscle,23,17,163,90,4300,69,25,49,5.3,No,1335
16,Female,59,Losing fat,19,22,180,131,3049,129,25,103,5.8,No,1030
40,Female,68,Losing fat,30,30,140,90,1959,201,70,475,11.0,No,1229
66,Female,61,Gaining muscle,21,16,188,105,2648,77,86,22,5.3,No,1417
40,Male,70,Gaining muscle,14,12,139,225,4300,225,25,149,6.8,No,2819
37,Male,60,Gaining muscle,20,13,195,90,3051,177,119,109,11.0,No,1749
46,Male,50,Gaining muscle,19,16,118,130,2018,202,42,67,6.6,No,1339
39,Male,54,Losing fat,21,17,175,90,3512,92,25,442,5.3,No,3409
13,Male,66,Gaining muscle,32,17,127,97,1825,68,58,87,10.1,No,1663
13,Female,52,Losing fat,32,21,100,136,1375,75,25,27,6.0,No,1183
20,Female,50,Losing fat,45,22,139,92,1773,122,49,138,5.9,No,1138
13,Male,50,Gaining muscle,20,21,129,119,3267,225,76,59,9.4,No,1934
13,Male,72,Gaining muscle,20,25,190,148,2070,208,81,99,11.0,No,1503
13,Female,59,Gaining muscle,19,26,167,92,1979,106,72,62,8.6,No,1476
34,Male,54,Gaining muscle,17,17,111,104,3660,124,25,475,4.9,No,2352
18,Male,53,Gaining muscle,12,21,119,108,1200,178,62,475,11.0,No,1030
19,Male,67,Losing fat,19,27,195,148,3897,77,35,29,10.1,No,1030
13,Female,59,Gaining muscle,35,23,129,145,2611,136,55,103,11.0,No,1030
13,Female,60,Losing fat,30,29,195,139,1473,71,33,90,5.8,No,1331
16,Female,53,Gaining muscle,15,21,113,90,2460,80,75,111,8.0,No,1828
53,Female,50,Losing fat,21,19,167,124,2204,65,35,22,7.7,No,1030
31,Male,67,Gaining muscle,25,25,190,218,4183,225,113,68,11.0,No,1964
16,Male,54,Gaining muscle,19,23,100,90,3993,72,57,100,6.7,No,1721
39,Male,68,Gaining muscle,18,12,195,103,2888,225,258,109,7.0,No,1747
13,Male,54,Losing fat,18,22,170,119,1576,76,84,91,5.8,No,1796
13,Female,52,Gaining muscle,30,21,195,128,2089,72,44,61,6.0,No,1283
18,Female,52,Losing fat,22,15,161,90,1685,73,25,43,8.5,No,1030
13,Female,56,Losing fat,23,23,166,165,2113,70,63,75,8.0,No,1030
59,Female,69,Losing fat,34,21,190,129,2919,129,32,65,11.0,No,1030
39,Male,71,Gaining muscle,26,20,195,93,1811,221,59,115,6.7,No,1937
13,Female,50,Losing fat,24,25,145,132,1662,53,25,95,6.2,No,1030
13,Female,62,Gaining muscle,32,15,125,133,2548,225,55,340,9.3,No,1552
14,Female,50,Losing fat,19,25,105,90,1977,77,50,22,7.6,No,1611
50,Male,66,Gaining muscle,14,28,159,144,2799,225,80,152,10.6,No,1307
13,Female,54,Losing fat,35,19,128,90,1354,139,25,55,11.0,No,1030
21,Female,53,Losing fat,39,27,135,125,1726,62,48,22,7.5,No,1030
38,Female,59,Losing fat,22,25,113,90,1200,85,25,22,11.0,No,1491
41,Female,65,Losing fat,22,30,121,178,2636,96,48,44,11.0,No,1065
19,Male,65,Gaining muscle,32,19,102,196,3472,224,92,151,11.0,No,1058
13,Female,60,Losing fat,34,29,111,90,1200,88,25,22,11.0,No,1030
13,Male,60,Gaining muscle,20,22,119,112,3447,105,72,65,5.9,No,1668
22,Male,61,Losing fat,20,24,108,109,2203,90,106,55,7.1,No,1030
46,Female,74,Losing fat,20,30,169,184,1911,89,80,86,8.1,No,1030
18,Female,57,Gaining muscle,28,15,116,187,3793,136,63,337,6.7,No,1360
21,Male,56,Losing fat,32,19,172,90,2966,225,25,28,10.0,No,1936
49,Male,74,Gaining muscle,15,18,191,159,2181,83,45,128,5.3,No,1847
53,Male,71,Gaining muscle,23,15,194,143,4247,79,137,378,7.5,No,1091
13,Male,54,Losing fat,32,23,115,175,2987,74,49,38,4.9,No,1032
18,Female,59,Gaining muscle,20,30,139,90,2421,79,25,117,5.0,No,1399
39,Female,63,Gaining muscle,35,30,194,129,2218,79,25,71,11.0,No,1411
25,Female,63,Gaining muscle,33,20,153,95,3542,89,25,391,6.2,No,1278
23,Female,64,Losing fat,21,22,114,114,3465,81,89,115,6.7,No,1188
13,Female,55,Losing fat,24,24,156,90,2881,225,38,31,11.0,No,1284
13,Male,72,Gaining muscle,15,14,195,139,2780,80,71,328,10.3,No,1609
27,Female,64,Gaining muscle,22,15,124,188,2243,89,27,30,11.0,No,1227
56,Female,62,Losing fat,24,24,154,106,3516,79,25,69,7.5,No,1030
13,Female,59,Losing fat,24,17,193,162,1676,90,55,22,6.9,No,3033
16,Female,63,Losing fat,39,24,140,140,4100,51,33,44,11.0,No,1530
13,Male,76,Gaining muscle,18,15,177,192,2936,225,92,87,9.5,No,1962
20,Female,50,Gaining muscle,24,12,127,90,1860,93,25,82,5.6,No,1456
30,Female,62,Losing fat,29,21,110,193,3010,79,89,49,7.1,No,1229
13,Female,56,Gaining muscle,19,14,129,105,1212,75,25,22,7.6,No,1030
48,Male,66,Gaining muscle,45,16,127,101,1278,204,39,119,7.3,No,1094
13,Male,75,Gaining muscle,32,20,112,145,3931,218,93,137,3.4,No,1268
37,Female,65,Gaining muscle,24,12,116,160,2886,69,86,59,7.5,No,1156
33,Male,59,Gaining muscle,31,27,129,196,4300,82,42,57,11.0,No,1992
17,Female,62,Gaining muscle,30,19,171,130,2739,155,71,63,10.4,No,1030
13,Female,56,Losing fat,38,19,143,104,1522,94,43,22,5.6,No,1030
13,Female,61,Losing fat,20,25,144,142,2063,76,25,89,5.7,No,1706
13,Male,65,Losing fat,23,22,165,90,1200,57,25,55,6.0,No,1530
24,Male,71,Gaining muscle,31,21,155,105,4300,86,86,64,6.9,No,1161
18,Male,65,Gaining muscle,20,23,110,100,3579,147,204,445,10.7,No,1583
17,Male,50,Gaining muscle,21,23,106,177,2922,71,62,59,5.0,No,1030
13,Male,62,Losing fat,19,14,125,90,3171,81,49,92,9.7,No,1030
13,Female,67,Losing fat,18,15,189,199,3012,95,41,407,5.3,No,1036
24,Male,75,Gaining muscle,22,14,134,137,2791,117,25,80,7.2,No,1485
13,Male,54,Gaining muscle,18,19,153,99,1477,89,57,123,11.0,No,1030
31,Female,50,Losing fat,16,16,180,182,2060,216,96,103,10.0,No,1624
18,Female,63,Losing fat,37,22,100,125,1200,69,31,22,11.0,No,1030
26,Male,69,Losing fat,23,19,113,100,2657,118,33,130,7.1,No,1518
13,Female,50,Losing fat,19,24,100,105,1542,53,25,102,7.9,No,1304
42,Female,57,Losing fat,19,19,114,90,1200,89,25,264,7.7,No,2746
35,Male,66,Losing fat,31,20,122,128,2127,225,25,55,7.8,No,1166
13,Female,61,Gaining muscle,20,24,100,90,1200,60,25,288,8.5,No,1251
13,Female,59,Gaining muscle,16,19,110,90,2085,137,63,22,5.6,No,1711
22,Male,60,Gaining muscle,32,21,125,225,1860,209,84,64,5.5,No,1384
13,Male,70,Gaining muscle,17,12,121,195,2194,77,91,404,10.4,No,1381
15,Male,62,Gaining muscle,21,16,192,90,3943,143,31,34,7.7,No,1739
22,Male,69,Losing fat,19,16,179,155,4300,225,49,464,11.0,No,1158
57,Male,69,Losing fat,23,14,185,189,1200,217,43,54,8.9,No,1031
13,Female,55,Losing fat,20,23,131,125,1976,69,39,66,5.5,No,1030
28,Male,51,Gaining muscle,13,20,124,141,2743,129,76,124,4.0,No,1207
13,Female,52,Gaining muscle,17,21,100,90,2129,51,25,33,11.0,No,1442
13,Male,54,Gaining muscle,19,17,170,114,1643,66,49,91,11.0,No,1525
21,Male,61,Gaining muscle,14,17,113,110,2261,135,86,53,10.3,No,1298
13,Male,76,Gaining muscle,12,12,116,195,2616,80,269,178,10.5,No,2145
38,Female,62,Gaining muscle,23,22,126,129,1839,143,38,39,10.9,No,1295
45,Female,68,Losing fat,23,30,161,183,1379,103,53,161,11.0,No,1030
14,Male,65,Gaining muscle,21,26,195,158,3550,101,75,55,5.3,No,1375
13,Female,51,Losing fat,35,27,100,92,1200,57,25,25,5.8,No,1030
33,Male,64,Gaining muscle,21,21,157,131,1200,65,25,105,7.3,No,1207
34,Male,66,Gaining muscle,19,15,190,219,3818,116,93,81,9.1,No,2169
73,Female,66,Gaining muscle,26,17,188,143,4300,135,59,357,6.8,No,1316
41,Female,62,Losing fat,21,19,118,109,2093,86,25,91,6.4,No,1262
31,Male,50,Gaining muscle,15,25,169,105,2431,85,47,383,5.4,No,1243
26,Male,52,Losing fat,34,18,144,129,2198,129,105,36,6.5,No,1132
13,Female,61,Losing fat,17,22,106,90,1668,51,41,116,7.0,No,1754
43,Female,63,Losing fat,22,24,188,90,2523,92,25,56,5.7,No,1030
41,Female,51,Gaining muscle,16,14,104,90,1598,51,85,80,7.6,No,1030
13,Female,58,Gaining muscle,18,20,148,117,2611,72,25,51,5.6,No,1030
48,Female,71,Losing fat,19,24,152,165,2186,69,49,22,11.0,No,1242
16,Male,60,Gaining muscle,22,12,131,133,4300,90,79,61,7.3,No,1809
48,Male,69,Gaining muscle,18,14,195,135,2476,162,25,247,10.3,No,2385
21,Female,61,Losing fat,21,25,134,90,2378,108,25,48,7.3,No,3178
13,Male,63,Losing fat,14,19,186,165,1719,84,25,268,10.3,No,1179
13,Male,68,Gaining muscle,22,28,130,143,3842,89,43,56,11.0,No,1882
13,Male,57,Gaining muscle,22,19,149,114,2372,61,150,35,7.2,No,2215
20,Male,65,Losing fat,34,30,177,108,2926,70,27,40,11.0,No,1725
15,Female,50,Gaining muscle,16,24,118,161,1988,126,102,74,11.0,No,2612
13,Female,53,Losing fat,33,22,118,129,2147,144,25,83,11.0,No,1510
27,Female,71,Gaining muscle,45,17,141,117,1327,122,39,46,6.7,No,1030
22,Female,65,Gaining muscle,21,16,195,107,2932,98,47,82,7.2,No,1519
15,Female,61,Gaining muscle,19,12,128,121,4060,70,45,97,7.5,No,1423
13,Female,60,Losing fat,21,22,139,114,2325,124,60,88,5.5,No,1030
16,Female,67,Losing fat,19,17,162,98,2000,86,25,110,11.0,No,1290
35,Female,58,Losing fat,22,19,107,142,2404,105,32,275,5.8,No,1540
41,Male,71,Gaining muscle,16,14,190,137,4300,195,70,132,11.0,No,2010
68,Male,76,Gaining muscle,16,18,187,107,2519,155,25,150,5.0,No,2150
13,Female,67,Gaining muscle,19,23,195,131,1200,90,42,46,5.1,No,1328
39,Male,50,Gaining muscle,17,12,108,121,4300,86,37,475,9.6,No,2139
17,Female,50,Gaining muscle,20,30,100,119,3643,81,31,76,6.2,No,1030
22,Female,59,Losing fat,33,20,117,90,1490,94,35,28,9.5,No,1061
13,Female,67,Losing fat,22,30,124,90,2063,93,31,44,9.7,No,1429
39,Female,61,Losing fat,22,22,111,90,1849,139,25,53,5.9,No,1419
13,Female,55,Gaining muscle,20,23,112,134,3118,126,55,87,5.7,No,1030
43,Female,52,Losing fat,45,19,195,96,2330,73,25,22,7.4,No,1030
13,Female,63,Losing fat,18,19,113,129,3714,69,60,35,6.0,No,1265
38,Male,65,Losing fat,21,17,189,196,1736,152,25,78,11.0,No,1473
38,Male,69,Gaining muscle,16,16,110,119,4067,64,113,129,5.1,No,1726
39,Female,61,Gaining muscle,22,29,177,90,2034,62,25,79,5.6,No,1692
13,Female,69,Gaining muscle,37,21,118,92,2025,133,340,97,6.9,No,1226
30,Female,51,Gaining muscle,23,17,118,90,2345,67,25,81,5.5,No,2350
41,Male,58,Gaining muscle,17,20,154,213,4115,126,30,51,7.1,No,1293
23,Female,65,Gaining muscle,22,21,182,98,2228,70,31,247,10.1,No,3059
13,Male,70,Gaining muscle,24,18,168,133,2170,125,59,124,7.8,No,3500
13,Female,70,Gaining muscle,23,24,147,131,4300,72,29,37,6.0,No,1637
15,Female,61,Gaining muscle,20,21,129,108,1697,56,25,22,5.9,No,1713
18,Female,61,Losing fat,19,20,118,135,2097,64,25,36,11.0,No,1985
28,Male,71,Losing fat,23,18,179,125,4130,96,25,22,11.0,No,1144
52,Female,60,Losing fat,23,30,185,90,2528,89,309,22,5.9,No,1724
14,Female,64,Gaining muscle,24,20,133,93,1660,65,25,89,6.2,No,1186
13,Male,61,Losing fat,22,17,100,112,1615,225,43,103,10.6,No,1346
45,Male,67,Losing fat,21,12,106,138,4300,184,54,465,6.6,No,1656
13,Male,63,Gaining muscle,30,12,154,124,2087,152,26,113,7.5,No,1030
33,Male,66,Gaining muscle,19,12,120,144,2778,139,113,115,7.6,No,1982
54,Male,76,Gaining muscle,21,21,154,144,3294,92,78,39,9.9,No,1030
23,Male,53,Gaining muscle,25,27,168,129,2229,97,100,454,11.0,No,1464
71,Male,58,Gaining muscle,14,17,195,120,3437,203,79,475,2.3,No,1389
51,Female,50,Gaining muscle,21,17,126,90,2282,194,52,322,5.5,No,1975
42,Male,59,Losing fat,21,26,169,107,4256,191,81,64,6.3,No,3500
23,Male,56,Gaining muscle,19,21,100,95,1949,68,93,94,7.3,No,1030
24,Female,64,Losing fat,21,16,110,92,2453,193,49,93,5.3,No,1030
31,Female,54,Losing fat,16,29,105,178,1970,55,28,22,10.9,No,1030
13,Female,51,Losing fat,30,21,100,90,1200,52,25,22,6.4,No,1030
16,Female,59,Losing fat,45,22,171,90,2451,210,25,74,11.0,No,1048
24,Female,65,Losing fat,31,13,195,137,1893,221,53,164,11.0,No,1378
13,Female,62,Gaining muscle,34,21,133,114,2006,163,25,47,5.3,No,1475
52,Female,63,Gaining muscle,20,22,178,129,3687,118,32,176,10.9,No,1276
49,Male,66,Gaining muscle,16,17,172,188,2201,84,43,75,9.1,No,1233
41,Male,61,Gaining muscle,19,19,127,116,1788,127,87,164,7.5,No,1865
50,Male,74,Gaining muscle,17,12,195,161,2843,93,109,126,4.3,No,2440
19,Male,69,Gaining muscle,16,23,123,171,1730,159,79,475,4.9,No,1631
42,Female,50,Gaining muscle,21,17,190,90,3018,78,54,383,11.0,No,1030
17,Female,50,Losing fat,19,20,117,119,1397,74,33,92,6.1,No,1901
13,Female,59,Losing fat,20,29,172,90,1866,123,69,88,7.8,No,2204
13,Female,59,Losing fat,15,22,100,98,1919,132,25,42,11.0,No,1372
44,Male,50,Gaining muscle,23,24,119,145,1937,115,25,202,5.6,No,1908
15,Female,56,Gaining muscle,20,25,159,102,2000,88,30,29,7.8,No,1030
53,Male,50,Losing fat,25,18,195,129,2903,225,106,475,11.0,No,3500
30,Male,62,Gaining muscle,19,16,195,122,3264,97,114,22,5.4,No,1510
16,Female,67,Gaining muscle,11,16,113,90,1980,87,96,463,7.2,No,1450
13,Male,70,Gaining muscle,22,14,131,135,2173,67,48,274,8.0,No,1682
73,Male,59,Gaining muscle,16,22,126,116,2507,94,25,86,5.2,No,3500
67,Male,67,Gaining muscle,22,12,195,112,4300,160,55,92,5.2,No,1735
13,Female,64,Gaining muscle,29,23,100,90,1945,70,32,210,11.0,No,1030
13,Male,65,Gaining muscle,28,24,174,133,2475,92,70,114,11.0,No,1891
28,Female,62,Gaining muscle,20,13,167,179,2364,82,107,105,11.0,No,1545
41,Female,69,Gaining muscle,23,14,116,125,2634,87,25,22,5.6,No,1277
43,Male,70,Gaining muscle,15,20,195,184,2539,91,38,79,10.4,No,1487
16,Female,57,Gaining muscle,23,29,115,90,3776,91,32,67,8.0,No,1320
13,Male,59,Gaining muscle,30,17,119,132,2114,219,84,109,10.3,No,1030
17,Female,63,Gaining muscle,21,15,195,112,1717,78,25,61,7.3,No,1030
27,Female,59,Losing fat,15,17,161,90,1629,85,39,149,5.9,No,1240
13,Female,61,Losing fat,22,22,123,92,2452,88,25,81,5.2,No,1201
13,Female,56,Gaining muscle,23,25,181,90,2111,90,25,22,5.7,No,1292
16,Female,61,Gaining muscle,11,17,131,135,3381,127,44,60,8.3,No,1030
16,Male,58,Gaining muscle,23,19,152,119,1547,225,67,74,5.9,No,1030
43,Male,54,Gaining muscle,21,28,132,224,1527,213,79,22,7.5,No,1573
27,Female,50,Gaining muscle,26,23,100,90,1347,65,46,71,5.8,No,1030
13,Female,59,Losing fat,28,29,117,98,2856,78,25,126,11.0,No,1148
14,Male,59,Losing fat,31,18,150,108,2045,58,33,65,7.0,No,1140
62,Male,66,Losing fat,28,25,115,101,2024,130,91,99,5.5,No,1030
13,Male,68,Gaining muscle,17,17,177,140,2720,127,69,298,10.5,No,1030
58,Male,52,Gaining muscle,20,22,117,148,3031,90,63,129,7.3,No,1602
23,Male,72,Gaining muscle,17,12,166,147,3363,59,98,475,9.3,No,2207
16,Female,50,Losing fat,17,19,100,94,1935,108,25,106,11.0,No,1421
16,Female,63,Losing fat,19,23,131,180,1351,133,25,30,11.0,No,1030
16,Female,53,Losing fat,17,20,141,90,1876,69,59,50,6.9,No,1030
18,Female,54,Gaining muscle,21,24,145,139,2027,75,25,52,11.0,No,1045
26,Female,58,Gaining muscle,28,22,111,90,2155,75,83,72,11.0,No,1039
22,Female,73,Gaining muscle,32,19,127,127,2547,136,52,22,11.0,No,1030
13,Female,55,Losing fat,22,15,125,165,1395,115,34,122,5.3,No,1034
28,Male,70,Gaining muscle,16,24,113,124,2465,225,84,475,5.0,No,1288
13,Female,58,Gaining muscle,31,23,105,90,1200,51,25,30,7.9,No,1030
57,Male,67,Gaining muscle,21,18,195,195,4300,105,131,122,2.8,No,2206
47,Female,64,Losing fat,36,17,124,127,1982,65,58,55,5.7,No,1234
13,Female,50,Losing fat,19,22,111,90,1794,61,25,75,11.0,No,1270
63,Male,66,Gaining muscle,19,14,121,173,4300,68,82,88,10.7,No,1720
26,Female,61,Losing fat,24,22,114,182,1200,131,25,84,5.2,No,1973
37,Female,60,Gaining muscle,24,21,105,90,1798,93,42,22,6.2,No,1030
13,Female,56,Losing fat,15,19,100,133,1357,70,25,99,5.9,No,1523
18,Male,63,Gaining muscle,16,16,130,90,2936,125,25,158,4.4,No,1848
33,Female,65,Losing fat,45,25,168,90,4025,110,62,22,11.0,No,1534
13,Male,56,Losing fat,16,28,104,97,4300,158,65,475,4.4,No,1885
36,Female,55,Losing fat,20,26,152,90,1599,76,42,22,9.5,No,1030
59,Male,65,Losing fat,17,13,106,115,3969,179,119,127,11.0,No,1344
14,Male,67,Losing fat,19,18,149,90,2963,83,27,475,5.3,No,1143
42,Female,62,Gaining muscle,19,18,194,123,2555,88,89,62,6.8,No,1506
13,Female,65,Gaining muscle,38,23,151,156,2505,141,26,36,7.9,No,1212
13,Female,59,Losing fat,20,30,135,113,2014,112,91,48,6.7,No,1743
13,Female,53,Gaining muscle,21,30,105,115,2044,51,25,43,6.5,No,1514
13,Male,67,Gaining muscle,22,15,115,189,2443,74,45,86,5.2,No,1902
13,Female,54,Losing fat,18,29,158,90,3632,75,38,157,7.8,No,1933
22,Female,67,Losing fat,20,22,179,103,1775,225,48,55,5.7,No,2917
47,Male,64,Losing fat,21,21,100,120,1928,73,25,315,9.8,No,1596
22,Female,51,Gaining muscle,45,22,105,135,3061,78,25,22,4.7,No,1030
17,Male,69,Losing fat,32,19,121,107,2084,71,29,22,5.3,No,2027
26,Female,65,Losing fat,35,19,169,121,3127,185,51,51,11.0,No,1030
13,Female,50,Losing fat,21,23,100,90,1200,56,25,36,6.2,No,1075
59,Male,65,Losing fat,36,22,148,136,2314,61,38,67,9.6,No,1914
64,Female,50,Gaining muscle,21,23,178,107,2659,126,25,61,7.8,No,1410
31,Male,76,Gaining muscle,19,14,188,145,2598,86,44,43,2.0,No,2014
13,Female,62,Losing fat,30,22,146,142,1423,65,26,41,7.3,No,1927
13,Male,65,Losing fat,20,21,108,127,2336,83,25,104,11.0,No,1237
40,Female,68,Losing fat,24,21,195,190,4300,225,25,272,10.7,No,2079
71,Female,68,Gaining muscle,16,21,119,90,1837,73,62,195,5.7,No,2012
13,Female,57,Losing fat,21,30,100,129,2654,51,25,22,6.5,No,1044
31,Male,69,Gaining muscle,15,21,195,198,4300,191,86,105,11.0,No,1790
13,Female,51,Gaining muscle,20,23,100,187,1828,58,104,22,7.2,No,1071
47,Male,52,Losing fat,33,17,101,123,2064,76,40,62,11.0,No,1263
13,Male,74,Gaining muscle,18,19,194,204,4072,146,79,97,5.2,No,1987
39,Male,53,Gaining muscle,19,18,186,188,3635,75,50,115,7.7,No,1057
17,Female,50,Losing fat,21,30,104,95,3039,83,47,22,11.0,No,1247
29,Female,54,Gaining muscle,28,17,118,138,2717,141,54,122,5.3,No,3262
13,Female,50,Losing fat,19,16,100,90,1488,66,25,22,8.0,No,2509
13,Female,56,Losing fat,23,13,186,90,1572,66,25,57,11.0,No,1753
13,Female,67,Gaining muscle,19,25,124,142,2087,142,30,105,4.7,No,1633
28,Female,50,Gaining muscle,31,21,126,177,1443,110,25,34,10.2,No,1047
13,Male,68,Gaining muscle,12,20,117,223,3300,225,79,155,5.4,No,1374
33,Male,75,Gaining muscle,21,30,102,146,2394,89,33,22,5.1,No,1030
13,Female,67,Gaining muscle,27,19,104,101,1736,74,51,48,5.9,No,1030
16,Female,69,Losing fat,19,18,106,90,1755,118,37,83,9.5,No,1030
32,Male,65,Gaining muscle,20,28,195,162,2359,225,98,69,5.6,No,1840
36,Female,60,Gaining muscle,21,24,109,177,1505,65,56,98,11.0,No,1030
13,Female,53,Gaining muscle,23,28,194,144,4300,66,25,31,10.7,No,1964
13,Male,55,Gaining muscle,22,15,124,110,3187,93,55,31,4.3,No,1511
19,Female,50,Losing fat,31,24,110,90,1330,64,25,99,6.2,No,1345
19,Female,59,Gaining muscle,20,17,161,132,1606,81,25,22,5.3,No,1421
55,Male,72,Gaining muscle,20,20,175,112,4300,74,68,399,7.7,No,1449
44,Male,53,Gaining muscle,10,17,125,172,2001,188,25,104,11.0,No,2255
26,Male,59,Losing fat,32,16,103,90,2488,87,25,56,7.0,No,1737
17,Male,63,Gaining muscle,17,20,153,130,1921,206,48,95,10.4,No,1783
13,Female,51,Losing fat,35,20,170,90,1537,67,25,34,11.0,No,1030
13,Male,50,Losing fat,18,29,100,157,1608,57,26,44,11.0,No,1408
34,Male,67,Gaining muscle,24,18,114,200,3991,91,28,22,5.8,No,1496
13,Female,65,Losing fat,38,22,102,90,2326,69,25,28,7.5,No,1096
19,Female,50,Losing fat,45,13,100,91,1879,63,25,135,8.9,No,1030
45,Male,58,Gaining muscle,32,17,173,178,4300,82,76,58,10.7,No,1493
47,Male,63,Gaining muscle,20,16,195,90,2789,150,53,116,11.0,No,3500
25,Female,67,Gaining muscle,22,15,134,128,2229,85,39,75,4.3,No,2329
65,Male,69,Losing fat,37,23,133,221,2259,151,99,385,5.2,No,1998
13,Female,50,Losing fat,22,18,110,170,1962,65,25,118,5.8,No,1199
13,Female,63,Losing fat,21,15,110,129,2409,77,60,110,4.7,No,1423
17,Male,50,Gaining muscle,45,20,161,117,1541,80,58,58,6.8,No,1035
36,Male,58,Gaining muscle,20,15,195,90,2189,70,44,344,5.7,No,2277
16,Male,52,Gaining muscle,24,22,113,90,3171,70,64,61,7.2,No,2207
55,Female,58,Gaining muscle,21,29,195,129,1292,95,133,53,5.3,No,1520
13,Male,69,Gaining muscle,45,17,110,90,2604,80,59,126,6.7,No,1437
15,Female,65,Gaining muscle,22,15,177,100,1207,225,25,115,7.3,No,1465
29,Female,75,Gaining muscle,45,18,195,134,1777,140,105,29,7.0,No,1347
73,Male,74,Losing fat,35,18,167,136,2968,138,25,63,4.2,No,3063
30,Male,63,Losing fat,19,18,179,90,2022,185,114,131,11.0,No,1030
13,Female,70,Gaining muscle,21,17,123,123,4255,81,90,24,5.8,No,1235
13,Female,66,Gaining muscle,21,15,118,90,3843,181,38,81,5.7,No,1327
